Date,"Total
vattenföring
[m³/s]","Total
stationskorrigerad
vattenföring
[m³/s]","Total
naturlig
vattenföring
[m³/s]","Lokal
vattenföring
[m³/s]","Vattendragstemperatur
[°C]",7-day Avg Total Vattenföring,30-day Avg Total Vattenföring,7-day Avg Lokal Vattenföring,30-day Avg Lokal Vattenföring,MD-MVM Id
2017-01-31,0.067,0.067,0.067,0.023,0.0,0.06871428571428571,0.07643333333333333,0.02328571428571428,0.02546666666666667,123
2017-02-01,0.066,0.066,0.066,0.022,0.0,0.068,0.07573333333333335,0.023,0.025233333333333333,123
2017-02-02,0.066,0.066,0.066,0.022,0.0,0.06742857142857143,0.07506666666666667,0.022714285714285715,0.02503333333333333,123
2017-02-03,0.065,0.065,0.065,0.022,0.0,0.06685714285714286,0.0744,0.022571428571428572,0.024833333333333332,123
2017-02-04,0.064,0.064,0.064,0.022,0.0,0.06614285714285714,0.07373333333333335,0.022428571428571426,0.024633333333333333,123
2017-02-05,0.063,0.063,0.063,0.022,0.0,0.06542857142857143,0.07306666666666667,0.022285714285714287,0.024466666666666668,123
2017-02-06,0.063,0.063,0.063,0.022,0.0,0.06485714285714286,0.07243333333333334,0.02214285714285714,0.0243,123
2017-02-07,0.062,0.062,0.062,0.021,0.0,0.06414285714285714,0.07180000000000002,0.021857142857142856,0.024100000000000003,123
2017-02-08,0.061,0.061,0.061,0.021,0.0,0.06342857142857143,0.07116666666666667,0.021714285714285714,0.023899999999999998,123
2017-02-09,0.061,0.061,0.061,0.021,0.0,0.06271428571428571,0.07053333333333334,0.02157142857142857,0.0237,123
2017-02-10,0.06,0.06,0.06,0.021,0.0,0.062,0.06986666666666667,0.021428571428571432,0.0235,123
2017-02-11,0.06,0.06,0.06,0.021,0.0,0.06142857142857143,0.0692,0.021285714285714286,0.02333333333333333,123
2017-02-12,0.059,0.059,0.059,0.02,0.0,0.06085714285714285,0.0685,0.020999999999999998,0.023133333333333336,123
2017-02-13,0.058,0.058,0.058,0.02,0.0,0.060142857142857144,0.0678,0.020714285714285716,0.022933333333333337,123
2017-02-14,0.058,0.058,0.058,0.025,0.0,0.059571428571428574,0.06713333333333334,0.021285714285714286,0.022899999999999997,123
2017-02-15,0.057,0.057,0.057,0.025,0.0,0.059000000000000004,0.06646666666666666,0.02185714285714286,0.022866666666666664,123
2017-02-16,0.057,0.057,0.057,0.025,0.0,0.058428571428571434,0.06583333333333334,0.02242857142857143,0.022866666666666667,123
2017-02-17,0.056,0.056,0.056,0.025,0.0,0.057857142857142864,0.0652,0.023,0.022866666666666667,123
2017-02-18,0.056,0.056,0.056,0.025,0.0,0.05728571428571429,0.06456666666666667,0.023571428571428573,0.022866666666666667,123
2017-02-19,0.056,0.056,0.056,0.025,0.0,0.05685714285714286,0.06396666666666667,0.02428571428571429,0.022866666666666667,123
2017-02-20,0.056,0.056,0.056,0.025,0.0,0.05657142857142857,0.0634,0.025,0.022899999999999997,123
2017-02-21,0.055,0.055,0.055,0.025,0.0,0.05614285714285714,0.06280000000000001,0.025,0.02293333333333333,123
2017-02-22,0.055,0.055,0.055,0.025,0.0,0.05585714285714286,0.062233333333333335,0.025,0.02296666666666667,123
2017-02-23,0.056,0.056,0.056,0.025,0.0,0.055714285714285716,0.0617,0.025,0.023000000000000003,123
2017-02-24,0.056,0.056,0.056,0.025,0.0,0.055714285714285716,0.061200000000000004,0.025,0.023033333333333336,123
2017-02-25,0.055,0.055,0.055,0.025,0.0,0.05557142857142857,0.0607,0.025,0.023066666666666666,123
2017-02-26,0.055,0.055,0.055,0.025,0.0,0.05542857142857143,0.06023333333333333,0.025,0.023133333333333332,123
2017-02-27,0.055,0.055,0.055,0.024,0.0,0.055285714285714285,0.05976666666666667,0.02485714285714286,0.02316666666666667,123
2017-02-28,0.055,0.055,0.055,0.024,0.0,0.055285714285714285,0.059333333333333335,0.024714285714285716,0.023200000000000002,123
2017-03-01,0.055,0.055,0.055,0.024,0.0,0.05528571428571428,0.05893333333333333,0.024571428571428574,0.023233333333333335,123
2017-03-02,0.055,0.055,0.055,0.024,0.0,0.055142857142857146,0.05853333333333333,0.024428571428571428,0.023266666666666665,123
2017-03-03,0.055,0.055,0.055,0.024,0.0,0.055,0.05816666666666667,0.02428571428571429,0.02333333333333333,123
2017-03-04,0.054,0.054,0.054,0.024,0.0,0.05485714285714286,0.05776666666666667,0.024142857142857143,0.023399999999999997,123
2017-03-05,0.054,0.054,0.054,0.024,0.0,0.054714285714285715,0.0574,0.024,0.02346666666666667,123
2017-03-06,0.053,0.053,0.053,0.024,0.0,0.05442857142857143,0.05703333333333334,0.024,0.023533333333333337,123
2017-03-07,0.053,0.053,0.053,0.023,0.0,0.054142857142857145,0.0567,0.023857142857142858,0.02356666666666667,123
2017-03-08,0.053,0.053,0.053,0.023,0.0,0.05385714285714286,0.05636666666666666,0.023714285714285716,0.0236,123
2017-03-09,0.053,0.053,0.053,0.023,0.0,0.05357142857142856,0.056066666666666674,0.023571428571428573,0.023666666666666666,123
2017-03-10,0.052,0.052,0.052,0.023,0.0,0.053142857142857144,0.05576666666666666,0.023428571428571427,0.023733333333333335,123
2017-03-11,0.052,0.052,0.052,0.023,0.0,0.05285714285714286,0.055466666666666664,0.023285714285714288,0.0238,123
